unit,region,notes
torres,r4,"""calm"" entered for wind from 7:30 to 8:30 a.m. on 7/30/2023, choose to leave each blank"
torres,r4,Starts using percents on hi_wc values from 7:30 to 11:30 p.m. on 7/30/2023
torres,r4,Starts using percents on temp values from 8:30 p.m. on 7/30/2023 to 5:30 p.m. on 7/31/2023
torres,r4,"Ranges used for wind from 12:30 a.m. to 9:30 a.m. on 7/31/2023, choose upper value for each row"
torres,r4,"""Gustig 20"" inputted with wind value at 6:30 p.m. on 7/31/2023"
dalhart,r5,Double temperature readings in some of the columns (typically Senkevich and Terrazes) unknown meaning
dalhart,r5,Double wind readings could also be ranges but didn't want to assume
dalhart,r5,"Name we coded as ""Terrazes"" hard to distinguish"
daniel,r5,"Some logs added red text at the bottom stating that says: ""This form is to be put in the mailbox by the warden's office door when it is brought into the unit from the radio picket each morning!"""
daniel,r5,"Name we coded as ""Nevemnte, J"" hard to distinguish"
daniel,r5,"Names ""Villa"" and ""Villa, G"" likely the same person based on handwriting"
daniel,r5,"""Haynes, C"" has scribbles next to his name when he signs for person, but I think that's like a scribble of his initials (happens on all his rows)"
daniel,r5,"Name we coded as ""Bundy, I"" unsure if actually ""Bundy 1"""
daniel,r5,"Name coded as ""L"" and ""LU"" likely the same person based on handwriting"
daniel,r5,"Names ""Salvidar, J"" and ""Salvidar, JS"" likely the same person based on handwriting"
formby,r5,Logs with blanked out for hi_wc had dashes (7/25/2023)
formby,r5,"Asiatico signed also as Asiatico, D"
formby,r5,Name coded as Ramiy/Ramiy RR hard to distinguish
formby,r5,"""Renez"" and ""Perez"" could potentially be the same person. I think the R is just a quick P."
jordan,r5,Sgt. Clear and Clear same person
jordan,r5,D. Johnson and DSJ same person
jordan,r5,Turner and Turner JJ same person
mechler,r5,Waddell and J Waddell are the same person
mechler,r5,Name we code as Cenruns hard to distinguish
mechler,r5,I think many of the hi_wc values are just repeats of that row's temp value.
montford,r5,"Person legibility for Ganan A/A Ganan, Brown, Thuku, Vasouz, Mckn, Rgnitron, Vmares"
roach,r5,"Person legibility: A. Smith, Gamboa, Grant, Martin, An"
roach,r5,"For several days, temp and hi_wc are the same all the way down"
roach,r5,"For several days, the hi_wc_n number was recorded in the temp column for some hours"
smith,r5,"There is a hi_wc recording but no humidity recording on:  7/25 from 9:30am-5:30pm, 7/27 from 9:30am-11:30pm, 7/28 from 12:30am-5:30am and 9:30am-11:30pm, 7/29 from 12:30am-5:30am and 9:30am-11:30pm, 7/30 from 12:30am-5:30am and 9:30am-11:30pm, 7/31 from 12:30am-11:30pm"
wallace,r5,"Person legibility for Clark, Lynd, Graham"
crain,r6,"""Crain/Riverside"" typed as unit for most pages"
crain,r6,"""Not given"" said for humid and wind from 2:30 a.m. to 5:30 a.m. on 7/25/2023, marked with ""humid legibility, wind legibility"""
crain,r6,"Values associated with percentages in hi_wc from 12:30 a.m. to 5:30 a.m. on 7/25/2023, marked with ""humid legibility, hi_wc legibility"" and entered percentage value for humidity"
halbert,r6,"""Druaran A"" is really hard to make out and is not probably their name, and they switch between placing the A before and after ""Druaran."""
halbert,r6,"""J. Garza"" and ""Garza, J"" are likely the same person, but switches the location of the initial at 3:30 p.m. on 7/27/2023"
hamilton,r6,Name scratched at 12:30 p.m. on 7/26/2023
hamilton,r6,"""S Hill"" and ""Hill"" seem to be the same person, just switches to ""Hill"" after first introduction of ""S Hill."" Same with ""S Moore"" and ""Moore."""
hamilton,r6,"""S Hill"" and ""A Hill"" seem to be different people, based on the handwriting."
hamilton,r6,"""Jones"" written on top of ""Gibbs"" (or vice versa) at 5:30 p.m. on 7/29/2023"
hamilton,r6,"On 7/29/2023, Gibbs' handwriting changes halfway though their shift, specifically between 9:30 a.m. and 10:30 a.m."
havins,r6,"Many entries with ""calm"" entered as wind value, entered as ""wind legibility"". Replaces misentered value with ""calm"" in wind column at 8:30 a.m. on 7/24/2023"
havins,r6,There are many instances where different hi_wc_n values are used for the same hi_wc value.
havins,r6,"The slash is included in entries with the person value of ""Arnold/west."" ""Arnold"" and ""West"" are also separate person values that appear later on 7/25/2023.."
havins,r6,"Important to note that there may be different Hernandezes who all sign with the name ""Hernandez"" because the handwriting changes sometimes on the same page."
hilltop,r6,"Some of the values, especially for hi_wc_n, seem to be erased or whited-out. A good example of this is at 6:30 p.m. on 7/28/2023, where you can see a cut off 2 at the right of the cell."
hilltop,r6,There are many duplicate rows in this unit.
hilltop,r6,"""-"" entered for hi_wc_n value at 8:30 p.m. on 7/30/2023."
hilltop,r6,"Can't read the person's name for 11:30 a.m. on 7/30/2023, but the name appears next to ""Taylor P"" earlier in the form."
hobby,r6,"""Suggs"" and ""T. Suggs"" are likely the same person, based on the last name and handwriting."
hobby,r6,Wind value entered in hi_wc_n area at 1:30 a.m. on 7/26/2023.
hobby,r6,No name entered for 11:30 p.m. on 7/26/2023.
hobby,r6,"""J Jackson"" might be ""J Julian"". I entered ""J Jackson"" because it seems similar to an earlier entry with the name ""J Jackson."""
hughes,r6,"From 2:30 a.m. to 5:30 a.m. on 7/25/2023, Lawson reports that there's ""no data from weather channel,"" and leaves the all fields except person blank"
hughes,r6,"Starting on 7/25/2023, many fields are left blank, especially when ""Lawson"" is the person recording"
hughes,r6,"""LiLes"" spells their name with an uppercase ""L"" in the middle."
hughes,r6,"At 6:30 p.m. on 7/25/2023, Lawson signs as the person recording, even though the handwriting used in the other fields matches the handwriting of ""LiLes"""
hughes,r6,"The date is corrected from ""7-20-2023"" to ""7-30-2023"" for page for ""7-30-2023"""
hughes,r6,Usual gap of NA hi_wc values in the mornings of each day.
luther,r6,"Couldn't find any other reference to ""Olasunloye"" in the PDF, so I used AI to help find a best guess from the handwriting."
luther,r6,"Rarely any wind values, and no entries had a hi_wc_n value."
luther,r6,Multiple gaps of N/A values for humid and hi_wc_n.
marlin,r6,"York' and 'York SST' are likely the same person, based on the handwriting."
marlin,r6,"""Markham"" likely not the name of the person is the best guess by AI. ""D Markham"" also uses the same last name, but I kept it as ""Markham"" for consistency."
marlin,r6,"""Testat, S"" and ""Testa, S"" are likely the same person. Only seems to add the extra ""t"" at 3:30 a.m. on 7/29/2023."
marlin,r6,"No number next to ""cat"" for hi_wc_n at 1:30 a.m. on 7/31/2023"
middleton,r6,Name we entered as Bret has a difficult signature to comprehend
middleton,r6,Name we entered as Watson has a difficult signature to comprehend
middleton,r6,Name we entered as W Carter has a difficult signature to comprehend
middleton,r6,Name we entered as Meddeford has a difficult signature to comprehend
middleton,r6,"7/28 log has tick marks for 11:30 am, 5:30 pm, 6:30 pm, 7:30 pm and 8:30 pm; the 11:30 am tick might just be a binder hole"
daniel,r6-o,Name we coded as Fretwell has a difficult signature to comprehend
daniel,r6-o,Name we coded as McCormick has a difficult signature to comprehend
daniel,r6-o,Name we coded as Shalt L has a difficult signature to comprehend
pack,r6,Notes between the lines/observations
robertson,r6,Notes in the margins and between lines
robertson,r6,"7/24/2023 11:30 p.m., 7/31/2023 7:30 a.m, 7/31/2023 11:30 a.m, and 7/31/2023 12:30 p.m says ICS outside the right margin"
robertson,r6,7/24/2023 1:30 p.m. 2:30 says Heat Advisory between the lines
robertson,r6,Name we coded as Saiid has a difficult signature to read
robertson,r6,Name we coded as Chatham has a difficult signature to read
saba,r6-san,Name we entered as Emelson has a difficult signature to comprehend
saba,r6-san,On 7/27/23 from 12:30 a.m to 3:30 a.m. there are multiple numbers in the humid wind speed column.
saba,r6-san,Name we entered as Calderon has a difficult signature to comprehend
saba,r6-san,Name we entered as Short has a difficult signature to comprehend
saba,r6-san,Name we entered as Short has a difficult signature to comprehend
saba,r6-san,"Text outside the margin, next to person column for the 7/31/2023 2:30 p.m. observation"
